,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
94997,9498.41744061775,147.26484266162151,-103.62329291936476,0.10000047007280743,9500.022837090148,True,-153.0,31708.727633325623,0.0,0.0,63417.45526665124
95997,9598.415717662014,147.8551594634191,-103.91844746202696,0.10000044055661024,9600.023292307216,True,-153.0,31799.04492338025,0.0,0.0,63598.08984676051
96997,9698.4141107697,148.42547659418778,-104.20360254822299,0.10000041204370577,9700.023718510502,True,-185.0,38555.332942842506,0.0,0.0,77110.66588568501
97997,9798.412615940859,148.97579403122654,-104.47875814069994,0.10000038452715483,9800.024116699766,True,-151.0,31552.58495849138,0.0,0.0,63105.16991698276
98997,9898.411229175561,149.50611175235827,-104.74391420383472,0.10000035801785877,9900.02448787485,True,-151.0,31632.662089558093,0.0,0.0,63265.32417911617
99997,9998.409946473852,150.01642973651178,-104.99907070305198,0.10000033250401826,10000.024833035519,True,-151.0,31709.719352321692,0.0,0.0,63419.4387046434
100997,10098.40876383578,150.506747963198,-105.24422760517336,0.10000030798138798,10100.0251531816,True,-151.0,31783.75673676235,0.0,0.0,63567.51347352471
101997,10198.407677261399,150.97706641280092,-105.47938487841748,0.10000028446912676,10200.025449313,True,-151.0,31854.774233282078,0.0,0.0,63709.548466564156
102997,10298.406682750745,151.4273850665777,-105.70454249228351,0.10000026195351108,10300.025722429464,True,-151.0,31922.771832669627,0.0,0.0,63845.54366533924
103997,10398.405776303862,151.85770390636753,-105.91970041720197,0.10000024043739981,10400.025973530881,True,-254.0,53807.207811938584,0.0,0.0,107614.41562387721
104997,10498.404953920777,152.2680229151738,-106.12485862558242,0.10000021992519013,10500.026203617117,True,-251.0,53274.679030042375,0.0,0.0,106549.35806008475
105997,10598.404211601524,152.6583420764655,-106.32001709053293,0.10000020040592404,10600.026413688105,True,-251.0,53372.648579447516,0.0,0.0,106745.29715889506
106997,10698.403545346135,153.02866137446836,-106.50517578667495,0.10000018188921327,10700.02660474372,True,-251.0,53465.59824491083,0.0,0.0,106931.19648982165
107997,10798.402951154629,153.3789807946887,-106.68033469002694,0.10000016437155,10800.026777783874,True,-251.0,53553.52801439352,0.0,0.0,107107.05602878706
108997,10898.402425027034,153.7093003228656,-106.84549377765507,0.10000014785875741,10900.02693380846,True,-251.0,53636.43787638284,0.0,0.0,107272.87575276569
109997,10998.401962963366,154.01961994590238,-107.00065302837174,0.10000013234236241,11000.027073817428,True,-251.0,53714.32782024263,0.0,0.0,107428.65564048523
110997,11098.401560963643,154.30993965134257,-107.14581242168788,0.10000011782401377,11100.027198810663,True,-268.0,57430.1554580247,0.0,0.0,114860.3109160494
111997,11198.401215027878,154.58025942766108,-107.2809719388606,0.10000010430737788,11200.027309788185,True,-268.0,57502.6009592293,0.0,0.0,115005.20191845858
112997,11298.400921156086,154.83057926391484,-107.40613156254403,0.10000009179122417,11300.02740774987,True,-258.0,55421.56388627272,0.0,0.0,110843.12777254544
113997,11398.400675348275,155.06089915015036,-107.52129127609078,0.1000000802746727,11400.02749369569,True,-258.0,55480.98629846284,0.0,0.0,110961.9725969257
114997,11498.400473604457,155.27121907722903,-107.6264510647161,0.1000000697620441,11500.027568625635,True,-258.0,55535.248749393504,0.0,0.0,111070.49749878701
115997,11598.400311924634,155.46153903653612,-107.72161091479938,0.1000000602470721,11600.02763353969,True,-258.0,55584.3512320365,0.0,0.0,111168.70246407297
